,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome_G
1417,59,5608,5,1,4640,100,10,44,0,0,0
1418,102,4679,4,2,4338,206,10,28,0,0,0
1419,60,4812,4,2,15951,517,10,27,0,0,0
1420,58,4658,2,23,1462,1393,6,40,0,0,0
1421,46,2393,2,34,356,2609,4,31,0,0,0
1422,91,3965,0,9,461,599,5,20,0,0,0
1423,45,3094,5,43,129,2622,3,20,0,0,0
1424,28,4981,1,30,8105,2879,10,18,0,0,0
1425,45,3043,1,13,1222,1345,7,36,0,0,0
1426,19,5301,6,29,153,1648,16,17,0,0,0
1427,36,5355,3,69,10499,20426,3,35,0,0,0
1428,36,2439,1,29,349,2845,9,25,0,0,0
1429,38,5860,5,14,2046,1506,11,17,0,0,0
1430,60,5302,3,3,13913,209,12,92,0,0,0
1431,58,2647,3,38,2029,4363,9,70,1,0,0
1432,48,5349,1,9,1869,3032,8,33,0,0,0
1433,47,4456,2,38,674,5320,10,28,0,0,0
1434,55,4425,3,31,381,2413,4,10,0,0,0
1435,48,3401,5,13,169,767,6,13,0,0,0
1436,60,3661,1,18,574,4138,15,39,0,0,0
1437,84,5323,0,0,8,53,14,11,0,0,0
1438,47,2913,1,41,179,1860,5,20,0,0,0
1439,66,3728,1,51,7786,3561,20,61,0,0,0
1440,28,2546,3,9,61,325,8,17,0,0,0
1441,60,4273,3,5,11,84,8,34,0,0,0
1442,58,4158,2,45,675,3260,4,35,0,0,0
1443,53,4067,4,22,378,1096,4,30,0,0,0
1444,64,4485,2,40,9296,5607,8,52,1,0,0
1445,28,4187,2,29,122,756,3,21,1,0,0
1446,31,4951,3,14,1606,1397,5,31,0,0,0
1447,47,4163,4,55,3269,4485,8,56,0,0,0
1448,53,2751,0,7,2247,890,9,1,0,0,0
1449,57,3184,2,30,57,1956,13,16,0,0,0
1450,59,3790,3,79,520,4813,1,32,0,0,0
1451,26,3236,6,33,211,2497,11,20,0,0,0
1452,44,2531,1,18,97,923,9,9,0,0,0
1453,96,5174,1,16,1245,2512,10,72,0,0,0
1454,98,5006,3,12,2105,1001,8,10,0,0,0
1455,56,5562,2,18,645,1024,9,0,0,0,0
1456,29,2386,3,22,406,3010,8,24,0,0,0
1457,45,4334,1,31,2952,2859,6,31,0,0,0
1458,15,2907,4,15,2,3002,6,42,0,0,0
1459,12,4212,0,21,951,2369,16,22,0,1,0
1460,60,5111,4,62,2317,6818,14,84,0,0,0
1461,41,4346,3,12,135,696,7,33,0,0,0
1462,46,2852,0,36,222,1848,4,24,0,0,0
1463,109,5176,0,1,17,113,14,39,0,0,0
1464,19,4671,1,40,1792,2222,3,12,0,0,0
1465,48,3364,3,37,1760,2928,7,27,0,0,0
1466,48,3069,1,22,227,972,14,6,0,0,0
1467,79,3777,4,7,435,152,3,18,0,0,0
1468,39,4552,6,0,896,9,7,11,0,0,0
1469,46,5616,3,2,388,232,4,33,0,0,0
1470,83,2712,1,16,512,1792,3,10,0,0,0
1471,37,3217,0,0,0,0,3,45,1,0,0
1472,36,4178,2,28,2854,3365,7,39,0,0,0
1473,113,6039,4,16,23921,3472,12,23,0,0,0
1474,56,5802,6,12,2061,1346,13,20,0,0,0
1475,47,4120,1,25,923,3205,6,41,0,0,0
1476,47,6376,0,9,776,478,11,30,0,0,0
1477,67,4914,0,24,2002,2493,11,39,0,0,0
1478,44,5235,3,33,4132,5699,11,17,0,0,0
1479,51,4279,1,2,12,109,3,47,0,0,0
1480,47,3302,3,16,82,832,10,5,0,0,0
1481,68,3335,3,50,567,6371,12,46,0,0,0
1482,44,5716,0,0,18,0,5,4,0,0,0
1483,60,4090,0,48,24745,7735,3,26,0,0,0
1484,33,2522,5,6,416,129,1,23,0,0,0
1485,32,4935,1,14,1205,2389,6,30,0,0,0
1486,58,5894,0,12,4231,3067,16,11,0,0,0
1487,67,3203,3,9,889,696,12,21,0,0,0
1488,72,5202,6,18,1987,1434,17,30,0,0,0
1489,36,5086,4,4,170,141,11,39,0,0,0
1490,84,5752,4,69,279,3065,6,20,0,0,0
1491,66,4649,2,13,3176,1670,10,50,0,0,0
1492,60,4560,6,1,5266,54,11,28,0,0,0
1493,60,3898,3,25,48,4712,4,23,0,0,0
1494,32,5010,4,16,1654,1497,6,26,0,0,0
1495,49,2876,2,14,443,1290,8,15,0,0,0
1496,29,4637,6,4,1802,62,3,29,0,0,0
1497,109,5819,2,17,4580,1627,4,18,0,0,0
1498,39,4237,5,54,8525,25384,7,48,1,0,0
1499,59,3916,2,52,40,3573,5,75,0,0,0
1500,60,2599,4,3,35,101,5,29,0,0,0
1501,86,5147,3,19,870,1385,6,16,0,0,0
1502,53,3865,2,64,323,5993,8,46,0,0,0
1503,39,3402,5,15,251,756,7,18,0,0,0
1504,89,3630,0,64,191,3558,10,37,0,0,0
1505,35,5132,3,35,1817,3099,4,34,0,0,0
1506,45,5808,2,22,154,2202,8,35,0,0,0
1507,34,5694,0,21,4671,3102,12,8,0,0,0
1508,18,2405,3,20,136,1915,4,15,0,0,0
1509,54,4525,2,21,660,2202,3,25,0,0,0
1510,116,3704,0,27,1565,2191,17,29,0,0,0
1511,116,3819,2,7,210,600,9,20,1,0,0
1512,60,4627,1,4,568,244,6,19,0,0,0
1513,42,5762,0,18,4523,3090,14,9,0,0,0
1514,25,5201,6,4,1509,86,4,22,0,0,0
1515,47,5304,1,17,3728,2737,15,18,0,0,0
1516,45,3035,1,27,31,1948,13,10,0,0,0
1517,60,3312,1,6,6,828,3,30,0,0,0
1518,60,3217,6,33,1839,2787,9,37,0,0,0
1519,104,4383,5,4,14921,178,7,30,0,0,0
1520,56,4595,5,4,11920,1091,13,29,0,0,0
1521,63,3461,0,9,3506,1899,16,27,0,0,0
1522,29,4594,5,25,1015,2071,6,12,0,0,0
1523,43,3199,3,30,413,4452,9,35,0,0,0
1524,50,3694,3,56,1010,5652,9,54,0,1,0
1525,34,4808,1,21,434,2425,3,32,0,0,0
1526,36,5654,0,62,1479,41441,12,63,0,1,0
1527,53,4304,3,39,396,2570,6,30,0,0,0
1528,47,6314,2,3,942,349,12,15,0,0,0
1529,40,2457,3,1,1248,64,7,26,0,0,0
1530,22,5255,6,8,1381,195,7,11,0,0,0
1531,18,4104,4,86,1322,2941,4,26,0,0,0
1532,70,3015,0,0,0,0,7,40,1,0,0
1533,60,4530,2,8,265,691,10,15,0,0,0
1534,27,5302,5,15,1194,412,10,0,0,0,0
1535,51,2808,1,33,145,1798,6,13,0,0,0
1536,60,2665,0,26,3734,3081,6,47,0,0,0
1537,42,3387,5,2,2963,92,6,27,0,0,0
1538,60,4771,3,0,725,37,8,16,0,0,0
1539,76,4839,0,0,0,0,8,42,0,0,0
1540,60,5583,6,1,4642,101,9,44,0,0,0
1541,46,3282,3,2,2856,158,6,23,0,0,0
1542,88,5509,3,36,106,3286,12,26,0,0,0
1543,60,3832,2,24,95,1537,8,21,0,0,0
1544,60,5531,3,29,8543,5546,13,75,1,0,0
1545,19,4606,1,32,1816,2304,1,15,0,0,0
1546,51,4359,2,30,447,2406,6,34,0,0,0
1547,25,5697,5,15,1995,2708,17,35,0,0,0
1548,47,3302,0,0,0,0,5,37,1,0,0
1549,37,2579,6,2,563,115,8,18,0,0,0
1550,36,4705,1,16,1851,2401,3,35,0,1,0
1551,25,3162,1,6,688,611,6,23,0,0,0
1552,60,5834,3,13,5332,2703,10,27,0,0,0
1553,60,2782,3,41,133,3171,6,30,0,0,0
1554,38,6260,2,0,25,4,16,33,0,0,0
1555,67,4604,2,18,8708,6618,14,67,0,0,0
1556,21,5231,6,6,1436,141,5,17,0,0,0
1557,49,3254,1,12,35,863,7,22,0,0,0
1558,68,5152,4,17,2097,1402,15,26,0,0,0
1559,24,5488,4,22,1960,1829,11,22,0,0,0
1560,109,3639,4,1,92,65,6,57,0,0,0
1561,60,3187,1,30,2839,3389,11,35,0,0,0
1562,67,6084,2,27,1422,2321,10,42,0,0,0
1563,60,2805,2,31,119,2921,6,35,0,0,0
1564,58,2763,5,18,3543,545,9,24,0,0,0
1565,32,4076,0,16,518,2495,10,33,0,1,0
1566,116,5213,0,1,18,122,14,25,0,0,0
1567,58,4512,2,20,607,2218,3,27,0,0,0
1568,64,5675,4,26,1066,2159,9,42,1,0,0
1569,48,3935,0,23,221,1979,8,32,0,0,0
1570,15,2921,6,15,701,1422,11,47,0,0,0
1571,77,2690,0,15,495,1802,3,14,0,0,0
1572,87,4866,3,12,2121,1311,6,28,0,0,0
1573,60,3866,3,5,349,241,5,22,0,0,0
1574,85,4583,2,42,18026,23523,3,61,1,0,0
1575,26,2400,1,10,1316,1662,0,10,0,0,0
1576,44,3273,5,39,1770,3017,3,22,0,0,0
1577,85,3582,2,52,93,5930,2,66,1,0,0
1578,49,5368,2,36,7591,4171,10,44,0,0,0
1579,38,4311,4,13,97,701,6,36,0,0,0
1580,43,5222,3,27,1376,4088,9,48,0,0,0
1581,38,5143,0,64,1752,55966,12,36,0,0,0
1582,60,2467,4,3,54,76,6,35,0,0,0
1583,60,5611,2,13,1996,2727,9,35,0,0,0
1584,60,3349,3,9,32,811,4,20,0,0,0
1585,50,6554,0,16,582,1142,4,12,0,0,0
1586,60,3585,2,23,140,2498,11,34,0,0,0
1587,50,3383,2,49,573,6575,13,39,0,0,0
1588,24,5102,4,33,1102,5311,11,37,0,0,0
1589,55,4186,0,40,1534,7709,13,42,1,0,0
1590,26,2321,5,23,410,3130,8,26,0,0,0
1591,45,4369,1,4,28,194,9,12,0,0,0
1592,37,4043,4,49,515,3081,8,40,0,1,0
1593,59,4111,5,42,8863,6646,3,78,0,0,0
1594,51,3605,3,49,1627,3414,5,55,0,0,0
1595,57,3317,0,20,329,1163,11,11,0,0,0
1596,41,5680,0,0,21,13,12,52,1,0,0
1597,49,4788,3,44,4327,4531,16,31,0,0,0
1598,42,4597,3,25,952,4335,9,30,0,0,0
1599,36,4766,2,29,2029,4379,9,87,0,0,0
1600,32,3040,3,36,837,2721,6,32,0,0,0
1601,60,3761,1,33,242,1521,4,17,0,0,0
1602,41,2904,2,3,39,63,9,38,0,0,0
1603,112,5740,3,20,331,1338,8,23,0,0,0
1604,26,2405,3,19,223,1816,6,20,0,0,0
1605,60,4558,0,1,1,24,11,19,0,0,0
1606,65,2962,3,36,166,3981,9,8,0,0,0
1607,114,4459,5,5,15258,83,6,28,0,0,0
1608,60,3932,2,65,495,4718,6,47,0,0,0
1609,50,3392,3,37,1760,2905,7,29,0,0,0
1610,113,5694,3,21,333,1315,9,8,0,0,0
1611,27,5107,0,13,970,7250,7,98,0,0,0
1612,54,2605,4,4,30,143,6,29,0,0,0
1613,28,2329,5,23,412,3137,8,27,0,0,0
1614,76,4641,0,0,0,0,8,42,0,0,0
1615,54,3708,2,31,483,1484,3,13,0,0,0
1616,26,2708,5,3,734,62,2,29,0,0,0
1617,36,3951,4,15,1714,2855,11,28,0,0,0
1618,55,4822,5,20,62,3317,8,40,0,0,0
1619,48,4217,2,34,197,3546,7,33,0,0,0
1620,49,3095,3,10,43,1148,12,41,0,0,0
1621,57,3688,0,23,75,2481,15,28,0,0,0
1622,39,5212,4,20,522,1305,9,4,0,0,0
1623,24,2304,4,22,403,3117,7,26,0,0,0
1624,49,6175,0,0,0,0,11,37,0,0,0
1625,46,6537,1,0,155,14,16,33,0,0,0
1626,30,3145,0,21,92,917,15,5,0,0,0
1627,44,2237,0,23,744,2388,8,43,0,1,0
1628,22,3331,4,38,1832,3129,4,51,0,0,0
1629,56,6468,1,10,388,1165,10,26,0,0,0
1630,14,4244,0,22,975,2400,16,24,0,1,0
1631,79,4605,6,10,1863,159,6,33,0,0,0
1632,36,4049,5,3,12756,789,18,131,0,0,0
1633,42,6264,3,0,44,7,22,42,1,0,0
1634,40,4272,2,3,1058,73,15,23,0,0,0
1635,31,5665,4,13,1974,2755,16,34,0,0,0
1636,60,3239,6,34,1833,2805,8,37,0,0,0
1637,36,5076,3,4,148,123,12,49,0,0,0
1638,72,3805,0,23,392,2062,16,18,0,0,0
1639,45,4326,1,4,20,177,6,37,0,0,0
1640,55,4537,5,29,221,4208,11,37,0,0,0
1641,56,4636,2,22,3687,4451,16,47,0,0,0
1642,49,4073,0,17,3696,5034,7,29,0,0,0
1643,39,2622,0,12,359,1826,2,36,0,0,0
1644,37,6273,1,0,17,3,14,31,0,0,0
1645,48,4132,0,20,3787,4997,7,26,0,0,0
1646,67,3675,2,24,2651,952,7,25,0,0,0
1647,54,6228,1,14,309,1255,7,83,0,0,0
1648,24,2419,0,8,1433,1732,3,12,0,0,0
1649,55,6077,4,4,20129,448,10,4,0,0,0
1650,39,5063,4,12,1746,1379,6,26,0,0,0
1651,65,6115,1,22,1521,2380,10,51,0,0,0
1652,76,4504,6,2,4905,153,9,20,0,0,0
1653,63,5206,1,41,3275,5288,8,116,0,0,0
1654,44,4621,2,5,532,245,12,14,0,0,0
1655,38,2595,0,34,580,2248,17,47,0,1,0
1656,36,3358,4,24,1804,3137,12,32,0,0,0
1657,70,3043,2,27,878,1988,3,29,0,0,0
1658,35,3876,4,53,6281,26517,8,53,0,0,0
1659,60,4694,1,18,92,1052,1,5,0,0,0
1660,50,4627,0,17,145,1119,1,7,0,0,0
1661,53,3313,0,52,340,3380,12,37,0,0,0
1662,103,4574,4,4,14558,46,7,48,0,0,0
1663,51,4717,4,20,1360,1789,5,22,0,0,0
1664,38,5413,0,23,1224,7201,7,91,0,0,0
1665,31,4602,4,16,1300,1999,3,30,0,0,0
1666,60,4238,4,41,8883,6581,4,79,1,0,0
1667,42,5018,3,35,1866,4484,6,60,0,0,0
1668,64,4869,3,13,1262,2225,5,39,0,0,0
1669,88,3306,1,37,56,2829,15,9,0,0,0
1670,61,4668,5,30,652,5320,10,25,0,0,0
1671,48,4531,1,17,300,4134,7,43,0,0,0
1672,13,3007,5,45,823,2862,2,43,0,0,0
1673,106,3352,4,46,180,5465,3,73,0,0,0
1674,36,5805,3,52,505,3004,11,20,0,0,0
1675,56,3003,5,17,679,3218,10,32,0,0,0
1676,36,3402,3,28,1712,3205,11,36,0,0,0
1677,31,3150,0,23,157,977,16,2,0,0,0
1678,39,4287,3,2,1007,65,14,21,0,0,0
1679,32,4286,3,60,6298,24496,7,49,0,0,0
1680,53,5620,3,18,1381,3098,10,41,0,0,0
1681,43,4238,1,27,142,2768,9,38,0,0,0
1682,41,5436,2,40,841,5331,11,38,0,0,0
1683,60,6263,1,8,808,614,9,25,0,0,0
1684,51,3852,3,16,615,1986,9,21,0,0,0
1685,72,3110,0,19,867,2418,13,10,0,0,0
1686,91,2644,2,6,332,463,4,10,0,0,0
1687,55,4590,4,41,16300,11558,7,58,0,0,0
1688,60,4033,1,8,30999,9354,7,112,1,0,0
1689,60,3834,3,66,391,4774,1,28,0,0,0
1690,20,2435,4,10,23,838,4,10,0,0,0
1691,43,4841,3,89,3291,20538,10,90,0,0,0
1692,38,5188,6,16,2002,429,9,20,0,0,0
1693,23,3321,4,37,1911,3155,4,53,0,0,0
1694,54,2050,4,3,78,311,4,27,0,0,0
1695,52,3624,3,20,8340,7268,14,34,0,0,0
1696,60,4616,3,41,814,5604,6,29,0,0,0
1697,29,5458,4,34,4574,6699,10,9,0,0,0
1698,61,5268,5,20,1980,1544,17,30,0,0,0
1699,52,6096,4,14,5566,2226,8,40,0,0,0
1700,30,5661,5,5,3348,500,5,28,0,0,0
1701,55,2691,6,2,528,46,2,64,0,0,0
1702,36,6162,0,49,876,21297,9,162,0,1,0
1703,58,4480,2,24,453,2355,4,12,0,0,0
1704,36,4501,2,43,742,6553,10,67,0,0,0
1705,86,2688,1,6,300,491,5,10,0,0,0
1706,82,5094,6,15,1956,682,9,14,0,0,0
1707,24,5042,1,64,1850,5578,5,61,0,0,0
1708,47,3907,5,116,5042,20107,10,39,0,0,0
1709,60,4008,1,25,528,4362,16,62,0,0,0
1710,56,4122,0,40,1520,7790,13,44,1,0,0
1711,60,3338,4,31,1757,2777,7,37,0,0,0
1712,24,2528,2,14,145,376,6,13,0,0,0
1713,41,5003,4,36,1951,4504,5,64,0,0,0
1714,53,6264,1,14,270,1248,8,75,0,0,0
1715,60,4537,5,29,117,4202,11,42,0,0,0
1716,43,3141,1,1,8,158,5,57,1,0,0
1717,58,6390,1,7,300,1128,14,35,0,0,0
1718,18,2341,4,29,403,1949,4,24,0,0,0
1719,105,3576,1,5,447,188,6,13,0,0,0
1720,59,3111,0,27,854,3403,5,37,0,1,0
1721,48,2870,2,14,443,1293,8,15,0,0,0
1722,59,4787,0,2,2516,2514,9,26,0,0,0
1723,60,4432,5,15,38,890,2,8,0,0,0
1724,72,4381,3,47,33458,23003,7,170,0,0,0
1725,35,4642,1,20,1357,7749,7,73,0,0,0
1726,25,3705,3,10,842,674,2,39,0,0,0
1727,38,2558,3,18,249,2495,7,32,0,0,0
1728,60,6045,0,1,160,179,9,47,0,1,0
1729,48,4212,2,34,199,3550,7,33,0,0,0
1730,37,4828,0,19,449,2422,3,31,0,1,0
1731,54,5808,4,45,1163,2227,9,37,0,0,0
1732,69,3933,0,10,599,617,3,25,0,0,0
1733,66,4304,0,14,635,3458,10,66,0,0,0
1734,36,4807,0,20,309,2080,11,22,0,0,0
1735,60,3871,4,18,54,1483,11,19,0,0,0
1736,60,4831,6,1,5001,44,12,39,0,0,0
1737,93,4556,5,3,4479,212,9,21,0,0,0
1738,60,6020,0,1,142,159,7,49,0,0,0
1739,48,5210,5,5,2923,620,12,39,0,0,0
1740,34,4147,1,3,1057,384,9,12,0,0,0
1741,49,2971,0,18,3426,2133,14,28,0,0,0
1742,36,3115,2,48,1088,6021,4,59,0,0,0
1743,60,3667,0,23,70,2494,13,29,0,0,0
1744,23,4908,5,43,372,2715,10,46,0,0,0
1745,60,5319,3,35,9293,5776,11,56,1,0,0
1746,48,4278,4,41,223,2537,6,21,0,0,0
1747,79,5137,6,7,1837,179,11,12,0,0,0
1748,29,5287,5,13,1218,373,9,2,0,0,0
1749,21,6144,0,6,906,1004,11,22,0,0,0
1750,50,3621,0,15,1916,1816,14,22,0,0,0
1751,24,2509,0,18,326,1871,2,31,0,0,0
1752,112,5719,4,66,265,3072,5,24,0,0,0
1753,33,4745,0,17,1045,7440,8,87,0,0,0
1754,52,3439,4,19,35,4750,6,44,0,0,0
1755,60,4961,4,3,13178,76,11,61,0,0,0
1756,52,6039,0,2,291,196,10,42,0,0,0
1757,72,3948,0,10,583,614,3,24,0,0,0
1758,48,3108,3,9,43,1186,12,44,0,0,0
1759,29,2262,2,25,184,1991,3,22,0,0,0
1760,68,3993,3,11,3892,1632,9,62,0,0,0
1761,87,3216,2,42,89,2800,11,13,0,0,0
1762,60,5426,2,27,9040,5949,14,84,1,0,0
1763,44,5182,4,2,2248,186,15,74,0,0,0
1764,60,5685,3,21,2085,2541,8,41,0,0,0
1765,40,4355,4,11,151,652,7,37,0,0,0
1766,37,4004,0,17,54,1238,11,15,0,0,0
1767,58,5651,3,24,2092,2506,8,44,0,0,0
1768,32,2540,5,4,504,61,1,21,0,0,0
1769,17,2788,5,3,848,71,2,17,0,0,0
1770,91,5657,3,20,437,1218,9,4,0,0,0
1771,38,5305,3,12,7656,1813,7,9,1,0,0
1772,51,3485,2,46,910,6996,15,38,0,0,0
1773,60,3916,2,67,498,4731,5,45,0,0,0
1774,43,5328,4,63,12647,21181,3,34,0,0,0
1775,50,3700,1,25,79,2648,12,30,0,0,0
1776,52,6817,4,1,667,55,16,34,0,0,0
1777,70,4181,3,2,1769,104,2,14,0,0,0
1778,26,4516,5,10,536,448,19,11,0,0,0
1779,41,5706,1,2,390,489,11,28,0,0,0
1780,36,5302,2,164,13800,42070,3,40,0,0,0
1781,60,3499,4,24,214,2502,8,39,0,0,0
1782,36,2705,4,3,1022,87,5,23,0,0,0
1783,45,4689,0,20,405,2091,9,23,0,0,0
1784,34,3141,1,38,311,3502,11,24,0,0,0
1785,65,3700,2,21,86,3126,7,65,0,0,0
1786,66,3179,0,0,0,0,6,42,0,0,0
1787,36,2600,0,11,386,1825,2,39,0,0,0
1788,29,4751,2,39,1764,2152,4,15,0,0,0
1789,40,5558,3,20,1064,3392,7,34,0,0,0
1790,75,3970,2,9,480,449,3,21,0,0,0
1791,16,2341,3,27,387,1881,3,22,0,0,0
1792,21,2925,0,37,115,1825,8,16,0,0,0
1793,46,4476,1,38,2996,2641,11,19,0,1,0
1794,45,2953,1,38,143,1885,7,18,0,0,0
1795,59,5910,5,36,771,939,10,12,0,0,0
1796,44,6292,1,12,249,1108,14,26,0,0,0
1797,77,3123,0,19,879,2341,12,15,0,0,0
1798,28,4995,1,29,8087,2835,10,17,0,0,0
1799,48,4393,2,16,11013,5579,5,43,1,0,0
1800,54,4485,4,32,679,5317,10,25,0,0,0
1801,60,3952,3,16,4820,948,6,19,0,0,0
1802,120,3562,4,3,241,54,6,42,0,0,0
1803,59,3055,1,3,14,247,7,56,0,0,0
1804,32,4824,2,16,1163,2602,9,38,0,1,0
1805,36,4800,1,20,440,2406,3,30,0,0,0
1806,69,4009,0,10,53,1217,11,31,1,0,0
1807,24,5962,4,20,3614,3419,10,49,0,0,0
1808,50,5766,4,46,1160,2238,9,40,0,0,0
1809,70,5907,0,46,381,5253,9,39,0,0,0
1810,50,4534,5,20,996,1975,6,13,0,0,0
1811,77,4446,0,19,9415,1611,12,11,0,0,0
1812,52,2538,2,24,84,1065,6,9,0,0,0
1813,37,5889,4,7,528,1089,9,7,0,0,0
1814,94,3209,4,8,905,737,15,15,0,0,0
1815,60,4565,1,22,453,2417,5,12,0,0,0
1816,60,5151,4,61,2290,6831,14,84,0,0,0
1817,61,4947,5,34,1651,1856,10,26,0,0,0
1818,34,6322,0,19,80,1142,14,17,0,0,0
1819,91,5766,2,11,5358,1632,10,34,0,0,0
1820,33,3181,0,31,1058,3705,7,54,0,0,0
1821,115,3247,6,33,1798,3700,4,30,1,0,0
1822,47,2106,1,57,145,2128,20,29,0,1,0
1823,57,5937,1,44,1716,7015,7,78,0,0,0
1824,37,4570,5,23,1007,2033,6,12,0,0,0
1825,39,2473,1,18,73,897,7,9,0,0,0
1826,36,3201,0,0,0,4,3,47,1,0,0
1827,24,5100,0,11,230,1115,7,23,0,0,0
1828,91,5303,5,16,10371,1429,8,32,1,0,0
1829,21,4438,0,25,19973,7863,12,46,0,1,0
1830,31,4265,3,19,110,711,5,33,0,0,0
1831,67,3343,3,1,318,8,4,23,0,0,0
1832,55,4940,0,1,37,30,10,22,0,0,0
1833,38,3008,1,17,399,1551,10,23,0,0,0
1834,60,4296,0,0,17,38,7,8,0,0,0
1835,60,3775,1,31,202,1541,4,19,0,0,0
1836,60,3690,3,22,179,1811,7,10,0,0,0
1837,67,5555,1,51,577,5537,7,37,0,0,0
1838,35,3190,0,43,345,3371,11,32,0,0,0
1839,38,2852,4,28,46,3122,6,38,0,0,0
1840,102,5047,6,14,1936,788,9,12,0,0,0
1841,57,5949,1,22,209,1175,13,10,0,0,0
1842,66,4069,6,4,1836,141,5,5,1,0,0
1843,29,5356,5,23,996,899,10,6,0,0,0
1844,27,5011,4,12,1653,1408,6,26,0,0,0
1845,65,4833,5,30,1605,1722,10,26,0,0,0
1846,63,3992,1,51,8028,3553,20,60,0,0,0
1847,23,3028,4,41,831,2997,2,43,0,0,0
1848,60,3178,0,2,2477,361,6,20,0,0,0
1849,37,1954,0,34,528,2380,4,12,0,0,0
1850,45,4581,3,56,2621,4785,4,73,0,0,0
1851,60,3501,1,41,1126,3235,10,48,0,0,0
1852,55,2743,0,27,387,1768,3,13,0,0,0
1853,62,3803,0,2,265,374,9,23,0,0,0
1854,69,3682,4,4,2134,151,8,11,0,0,0
1855,34,2258,3,37,122,2016,12,21,0,0,0
1856,36,3407,0,52,1379,3350,2,36,0,0,0
1857,62,4778,5,32,631,5324,10,26,0,0,0
1858,51,2754,0,19,3614,2385,13,32,0,0,0
1859,38,5107,4,5,202,171,10,22,0,0,0
1860,48,3079,4,27,346,1531,6,31,0,0,0
1861,36,3444,0,39,118,3455,9,31,0,1,0
1862,40,3088,0,0,0,0,4,55,0,0,0
1863,35,3103,4,5,771,102,9,10,0,0,0
1864,50,3176,6,40,151,2629,3,25,1,0,0
1865,50,2761,0,19,3604,2355,13,31,0,0,0
1866,60,4616,1,4,574,263,6,20,0,0,0
1867,58,6015,2,42,1722,7062,8,81,0,0,0
1868,60,4439,6,3,1628,171,0,4,1,0,0
1869,65,2623,3,4,33,107,5,27,0,0,0
1870,42,4185,1,3,1061,210,15,23,0,0,0
1871,37,2448,1,12,1429,1697,0,9,0,0,0
1872,70,2509,4,13,399,391,2,16,0,0,0
1873,34,3311,5,6,1787,709,8,22,0,0,0
1874,76,5250,3,13,1083,1343,10,28,0,0,0
1875,23,2396,5,0,1642,0,5,10,0,0,0
1876,12,2376,2,25,144,2227,4,29,0,1,0
1877,82,4655,0,0,0,0,8,49,0,0,0
1878,57,3940,2,50,63,3580,5,69,0,0,0
1879,16,3273,6,31,106,2565,9,14,0,0,0
1880,60,5115,2,22,3432,10998,10,148,0,0,0
1881,53,5503,0,0,37,17,13,26,0,0,0
1882,39,2840,3,2,1447,318,9,21,0,0,0
1883,35,4299,2,24,154,759,5,18,1,0,0
1884,110,3464,2,6,508,107,5,10,0,0,0
1885,53,4584,5,4,392,509,11,24,0,0,0
1886,83,5007,2,11,2234,1084,8,10,0,0,0
1887,59,4112,1,79,2826,5015,5,51,0,0,0
1888,32,3856,4,38,273,2914,11,42,0,0,0
1889,45,3158,2,24,160,1483,13,29,0,0,0
1890,49,2547,1,26,3801,2936,6,42,0,0,0
1891,72,3411,0,1,24,233,4,17,0,0,0
1892,48,3603,0,38,86,2247,15,45,1,0,0
1893,53,5782,0,0,0,1,5,49,0,0,0
1894,60,3235,0,8,1074,1250,9,38,0,0,0
1895,53,4681,2,23,1442,1371,5,46,0,0,0
1896,117,5882,2,17,6695,1113,17,11,0,0,0
1897,39,5690,4,42,691,3204,7,19,0,0,0
1898,47,3337,1,19,370,1022,10,16,0,0,0
1899,60,3734,0,34,988,3179,8,45,0,0,0
1900,43,4406,2,7,25,231,12,16,0,0,0
1901,111,4605,6,13,1960,198,9,33,0,0,0
1902,60,3411,3,31,1752,2758,10,37,0,0,0
1903,85,4618,4,25,56,1711,10,10,0,0,0
1904,59,4896,0,14,452,2765,11,32,0,1,0
1905,23,6174,0,21,127,1093,15,12,0,0,0
1906,56,3518,3,18,8301,7352,14,34,0,0,0
1907,53,4873,0,15,449,2680,9,32,0,1,0
1908,13,2410,2,25,241,1921,4,21,0,0,0
1909,57,4515,5,18,990,1946,6,13,0,0,0
1910,60,3855,1,25,95,4918,5,46,0,0,0
1911,60,5362,3,33,9234,5821,12,63,1,0,0
1912,36,5055,2,19,1836,2001,13,19,0,0,0
1913,49,6338,5,8,20836,371,10,11,0,0,0
1914,24,4603,2,4,846,285,8,0,0,0,0
1915,70,3518,1,8,42,489,3,14,0,0,0
1916,61,5618,2,4,6100,1686,16,51,0,0,0
1917,31,5763,0,0,9,0,7,8,0,0,0
1918,59,4113,5,52,1755,9362,13,48,0,0,0
1919,64,3671,3,22,265,1940,12,6,0,0,0
1920,84,4590,3,20,251,1124,10,7,0,0,0
1921,38,5911,4,7,528,1109,9,19,0,0,0
1922,60,3069,0,0,0,0,6,42,1,0,0
1923,65,4515,2,32,4665,4572,14,27,0,0,0
1924,110,3471,4,49,203,5540,2,75,0,0,0
1925,22,3251,6,32,167,2525,10,18,0,0,0
1926,51,4679,1,15,301,4185,5,41,0,0,0
1927,34,4838,4,16,1238,2134,4,23,0,0,0
1928,65,3768,2,18,4284,1722,8,43,0,0,0
1929,60,4438,6,3,1625,172,0,4,1,0,0
